OBJECTID;UNIDADE_ID;CNES;P_OTIMO;P_BOM;P_REGULAR;P_INSUFICIENTE;cod_Bairro;Equipes;Data_Inauguracao;TP_UNIDADE;Flg_UPP;gestao;Long;Lat;LatLong
9393;3,30E+12;6506232;0.125;0.375;0.5;0.01;São Conrado;8;2010-03-08T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,25267282;-22,99322124;-22.99322124:-43.25267282
9395;3,30E+12;6524486;0.01;1;0.01;0.01;Ramos;4;2010-04-06T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,26780636;-22,86050409;-22.86050409:-43.26780636
9396;3,30E+12;6029841;0.166;0.833;0.01;0.01;Cosmos;6;2011-02-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,60979333;-22,89163531;-22.89163531:-43.60979333
9001;3,30E+12;5358612;0.01;1;0.01;0.01;Tijuca;1;2002-06-27T00:00:00.000Z;CMS;Sim;descentralizada;-43,24877477;-22,93636984;-22.93636984:-43.24877477
9398;3,30E+12;6683851;0.01;1;0.01;0.01;Santa Cruz;3;2011-02-01T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,65215844;-22,92745327;-22.92745327:-43.65215844
9399;3,30E+12;6272053;0.333;0.666;0.01;0.01;Botafogo;3;2009-02-03T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,19249658;-22,95003951;-22.95003951:-43.19249658
9400;3,30E+12;6618855;0.166;0.833;0.01;0.01;Santa Cruz;6;2010-08-28T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,69416508;-22,91868241;-22.91868241:-43.69416508
9405;3,30E+12;3785009;0.01;0.75;0.25;0.01;Sepetiba;4;2010-07-04T00:00:00.000Z;CLINICA DA FAMILIA;Não;centralizada;-43,70522511;-22,96140865;-22.96140865:-43.70522511
9406;3,30E+12;6514022;0.01;1;0.01;0.01;Manguinhos;6;2010-04-13T00:00:00.000Z;CLINICA DA FAMILIA;Entorno;centralizada;-43,25112317;-22,88578812;-22.88578812:-43.25112317
9408;3,30E+12;3784975;0.01;0.7;0.3;0.01;Ramos;12;2010-04-06T00:00:00.000Z;CLINICA DA FAMILIA;Sim;centralizada;-43,26852722;-22,86478908;-22.86478908:-43.26852722
9003;3,30E+12;2269929;0.01;0.25;0.75;0.01;Santa Cruz;4;1987-06-13T00:00:00.000Z;CMS;Não;descentralizada;-43,71783299;-22,89015544;-22.89015544:-43.71783299
